"Date","Length","DifferenceFromMean","TrueAnomaly"
"12:36 Jan 29 2025 +0:00","29d12h09m","-00h35m","305.9"
"00:45 Feb 28 2025 +0:00","29d10h13m","-02h31m","329.3"
"10:58 Mar 29 2025 +0:00","29d08h33m","-04h11m","346.9"
"19:31 Apr 27 2025 +0:00","29d07h31m","-05h13m","2.3"
"03:02 May 27 2025 +0:00","29d07h29m","-05h15m","17.8"
"10:32 Jun 25 2025 +0:00","29d08h40m","-04h04m","36.2"
"19:11 Jul 24 2025 +0:00","29d10h55m","-01h49m","60.5"
"06:06 Aug 23 2025 +0:00","29d13h48m","+01h04m","93.0"
"19:54 Sep 21 2025 +0:00","29d16h31m","+03h47m","127.7"
"12:25 Oct 21 2025 +0:00","29d18h22m","+05h38m","156.8"
"06:47 Nov 20 2025 +0:00","29d18h56m","+06h12m","181.4"
"01:43 Dec 20 2025 +0:00","29d18h09m","+05h25m","207.0"
"19:52 Jan 18 2026 +0:00","29d16h09m","+03h25m","239.0"
"12:01 Feb 17 2026 +0:00","29d13h22m","+00h38m","276.3"
"01:23 Mar 19 2026 +0:00","29d10h28m","-02h16m","307.9"
"11:52 Apr 17 2026 +0:00","29d08h09m","-04h35m","330.4"
"20:01 May 16 2026 +0:00","29d06h53m","-05h51m","347.5"
"02:54 Jun 15 2026 +0:00","29d06h49m","-05h55m","2.5"
"09:44 Jul 14 2026 +0:00","29d07h53m","-04h51m","18.0"
"17:37 Aug 12 2026 +0:00","29d09h50m","-02h54m","36.5"
"03:27 Sep 11 2026 +0:00","29d12h23m","-00h21m","61.3"
"15:50 Oct 10 2026 +0:00","29d15h12m","+02h28m","94.5"
"07:02 Nov 09 2026 +0:00","29d17h50m","+05h06m","129.9"
"00:52 Dec 09 2026 +0:00","29d19h33m","+06h48m","159.4"
"20:24 Jan 07 2027 +0:00","29d19h32m","+06h48m","184.3"
"15:56 Feb 06 2027 +0:00","29d17h33m","+04h49m","210.4"
"09:29 Mar 08 2027 +0:00","29d14h22m","+01h38m","242.4"
"23:51 Apr 06 2027 +0:00","29d11h07m","-01h37m","278.5"
"10:59 May 06 2027 +0:00","29d08h42m","-04h02m","308.6"
"19:40 Jun 04 2027 +0:00","29d07h22m","-05h22m","330.4"
"03:02 Jul 04 2027 +0:00","29d07h03m","-05h41m","347.4"
"10:05 Aug 02 2027 +0:00","29d07h36m","-05h08m","2.6"
"17:41 Aug 31 2027 +0:00","29d08h55m","-03h49m","18.2"
"02:36 Sep 30 2027 +0:00","29d11h00m","-01h44m","36.7"
"13:37 Oct 29 2027 +0:00","29d13h48m","+01h04m","61.7"
"03:24 Nov 28 2027 +0:00","29d16h48m","+04h04m","96.0"
"20:12 Dec 27 2027 +0:00","29d19h00m","+06h16m","132.4"
"15:12 Jan 26 2028 +0:00","29d19h25m","+06h41m","161.9"
"10:37 Feb 25 2028 +0:00","29d17h54m","+05h10m","186.5"
"04:31 Mar 26 2028 +0:00","29d15h16m","+02h32m","212.1"
"19:47 Apr 24 2028 +0:00","29d12h29m","-00h15m","243.3"
"08:16 May 24 2028 +0:00","29d10h11m","-02h33m","278.2"
"18:27 Jun 22 2028 +0:00","29d08h34m","-04h10m","308.1"
"03:02 Jul 22 2028 +0:00","29d07h42m","-05h02m","330.4"
"10:44 Aug 20 2028 +0:00","29d07h40m","-05h04m","347.7"
"18:24 Sep 18 2028 +0:00","29d08h33m","-04h11m","2.9"
"02:57 Oct 18 2028 +0:00","29d10h21m","-02h23m","18.5"
"13:18 Nov 16 2028 +0:00","29d12h48m","+00h04m","37.4"
"02:06 Dec 16 2028 +0:00","29d15h18m","+02h34m","63.8"
"17:24 Jan 14 2029 +0:00","29d17h07m","+04h23m","99.9"
"10:31 Feb 13 2029 +0:00","29d17h48m","+05h04m","136.2"
"04:19 Mar 15 2029 +0:00","29d17h21m","+04h37m","164.5"
"21:40 Apr 13 2029 +0:00","29d16h02m","+03h18m","188.3"
"13:42 May 13 2029 +0:00","29d14h08m","+01h24m","213.4"
"03:50 Jun 12 2029 +0:00","29d12h01m","-00h44m","244.2"
"15:51 Jul 11 2029 +0:00","29d10h05m","-02h39m","279.1"
"01:56 Aug 10 2029 +0:00","29d08h49m","-03h55m","309.2"
"10:44 Sep 08 2029 +0:00","29d08h30m","-04h14m","331.3"
"19:14 Oct 07 2029 +0:00","29d09h10m","-03h34m","348.5"
"04:24 Nov 06 2029 +0:00","29d10h28m","-02h16m","3.8"
"14:52 Dec 05 2029 +0:00","29d11h57m","-00h47m","19.9"
"02:49 Jan 04 2030 +0:00","29d13h18m","+00h34m","39.8"
"16:07 Feb 02 2030 +0:00","29d14h27m","+01h43m","67.6"
"06:35 Mar 04 2030 +0:00","29d15h28m","+02h44m","104.1"
"22:02 Apr 02 2030 +0:00","29d16h10m","+03h26m","139.0"
"14:12 May 02 2030 +0:00","29d16h09m","+03h25m","165.9"
"06:21 Jun 01 2030 +0:00","29d15h13m","+02h29m","189.0"
"21:34 Jun 30 2030 +0:00","29d13h37m","+00h52m","213.7"
"11:11 Jul 30 2030 +0:00","29d11h56m","-00h48m","244.5"
"23:07 Aug 28 2030 +0:00","29d10h47m","-01h57m","279.9"
"09:55 Sep 27 2030 +0:00","29d10h22m","-02h22m","310.2"
"20:17 Oct 26 2030 +0:00","29d10h30m","-02h15m","332.4"
"06:46 Nov 25 2030 +0:00","29d10h46m","-01h58m","349.8"
"17:32 Dec 24 2030 +0:00","29d10h59m","-01h45m","5.3"
