Year,Eccentricity,Obliquity,LongOfPeri
1900,0.016744,23.4528,281.183
1901,0.016744,23.4526,281.200
1902,0.016743,23.4525,281.217
1903,0.016743,23.4524,281.234
1904,0.016743,23.4523,281.251
1905,0.016742,23.4521,281.268
1906,0.016742,23.4520,281.286
1907,0.016741,23.4519,281.303
1908,0.016741,23.4517,281.320
1909,0.016741,23.4516,281.337
1910,0.016740,23.4515,281.354
1911,0.016740,23.4513,281.371
1912,0.016739,23.4512,281.388
1913,0.016739,23.4511,281.405
1914,0.016738,23.4510,281.423
1915,0.016738,23.4508,281.440
1916,0.016738,23.4507,281.457
1917,0.016737,23.4506,281.474
1918,0.016737,23.4504,281.491
1919,0.016736,23.4503,281.508
1920,0.016736,23.4502,281.525
1921,0.016736,23.4500,281.542
1922,0.016735,23.4499,281.560
1923,0.016735,23.4498,281.577
1924,0.016734,23.4497,281.594
1925,0.016734,23.4495,281.611
1926,0.016734,23.4494,281.628
1927,0.016733,23.4493,281.645
1928,0.016733,23.4491,281.662
1929,0.016732,23.4490,281.679
1930,0.016732,23.4489,281.697
1931,0.016732,23.4487,281.714
1932,0.016731,23.4486,281.731
1933,0.016731,23.4485,281.748
1934,0.016730,23.4484,281.765
1935,0.016730,23.4482,281.782
1936,0.016730,23.4481,281.799
1937,0.016729,23.4480,281.816
1938,0.016729,23.4478,281.834
1939,0.016728,23.4477,281.851
1940,0.016728,23.4476,281.868
1941,0.016728,23.4474,281.885
1942,0.016727,23.4473,281.902
1943,0.016727,23.4472,281.919
1944,0.016726,23.4471,281.936
1945,0.016726,23.4469,281.953
1946,0.016726,23.4468,281.971
1947,0.016725,23.4467,281.988
1948,0.016725,23.4465,282.005
1949,0.016724,23.4464,282.022
1950,0.016724,23.4463,282.039
1951,0.016724,23.4461,282.056
1952,0.016723,23.4460,282.073
1953,0.016723,23.4459,282.090
1954,0.016722,23.4458,282.108
1955,0.016722,23.4456,282.125
1956,0.016722,23.4455,282.142
1957,0.016721,23.4454,282.159
1958,0.016721,23.4452,282.176
1959,0.016720,23.4451,282.193
1960,0.016720,23.4450,282.210
1961,0.016719,23.4448,282.227
1962,0.016719,23.4447,282.245
1963,0.016719,23.4446,282.262
1964,0.016718,23.4445,282.279
1965,0.016718,23.4443,282.296
1966,0.016717,23.4442,282.313
1967,0.016717,23.4441,282.330
1968,0.016717,23.4439,282.347
1969,0.016716,23.4438,282.364
1970,0.016716,23.4437,282.382
1971,0.016715,23.4435,282.399
1972,0.016715,23.4434,282.416
1973,0.016715,23.4433,282.433
1974,0.016714,23.4431,282.450
1975,0.016714,23.4430,282.467
1976,0.016713,23.4429,282.484
1977,0.016713,23.4428,282.501
1978,0.016713,23.4426,282.519
1979,0.016712,23.4425,282.536
1980,0.016712,23.4424,282.553
1981,0.016711,23.4422,282.570
1982,0.016711,23.4421,282.587
1983,0.016711,23.4420,282.604
1984,0.016710,23.4418,282.621
1985,0.016710,23.4417,282.639
1986,0.016709,23.4416,282.656
1987,0.016709,23.4415,282.673
1988,0.016709,23.4413,282.690
1989,0.016708,23.4412,282.707
1990,0.016708,23.4411,282.724
1991,0.016707,23.4409,282.741
1992,0.016707,23.4408,282.758
1993,0.016707,23.4407,282.776
1994,0.016706,23.4405,282.793
1995,0.016706,23.4404,282.810
1996,0.016705,23.4403,282.827
1997,0.016705,23.4402,282.844
1998,0.016704,23.4400,282.861
1999,0.016704,23.4399,282.878
2000,0.016704,23.4398,282.895
2001,0.016703,23.4396,282.913
2002,0.016703,23.4395,282.930
2003,0.016702,23.4394,282.947
2004,0.016702,23.4392,282.964
2005,0.016702,23.4391,282.981
2006,0.016701,23.4390,282.998
2007,0.016701,23.4389,283.015
2008,0.016700,23.4387,283.033
2009,0.016700,23.4386,283.050
2010,0.016700,23.4385,283.067
2011,0.016699,23.4383,283.084
2012,0.016699,23.4382,283.101
2013,0.016698,23.4381,283.118
2014,0.016698,23.4379,283.135
2015,0.016698,23.4378,283.152
2016,0.016697,23.4377,283.170
2017,0.016697,23.4376,283.187
2018,0.016696,23.4374,283.204
2019,0.016696,23.4373,283.221
2020,0.016696,23.4372,283.238
2021,0.016695,23.4370,283.255
2022,0.016695,23.4369,283.272
2023,0.016694,23.4368,283.290
2024,0.016694,23.4366,283.307
2025,0.016694,23.4365,283.324
2026,0.016693,23.4364,283.341
2027,0.016693,23.4363,283.358
2028,0.016692,23.4361,283.375
2029,0.016692,23.4360,283.392
2030,0.016691,23.4359,283.409
2031,0.016691,23.4357,283.427
2032,0.016691,23.4356,283.444
2033,0.016690,23.4355,283.461
2034,0.016690,23.4353,283.478
2035,0.016689,23.4352,283.495
2036,0.016689,23.4351,283.512
2037,0.016689,23.4350,283.529
2038,0.016688,23.4348,283.547
2039,0.016688,23.4347,283.564
2040,0.016687,23.4346,283.581
2041,0.016687,23.4344,283.598
2042,0.016687,23.4343,283.615
2043,0.016686,23.4342,283.632
2044,0.016686,23.4340,283.649
2045,0.016685,23.4339,283.666
2046,0.016685,23.4338,283.684
2047,0.016685,23.4337,283.701
2048,0.016684,23.4335,283.718
2049,0.016684,23.4334,283.735
2050,0.016683,23.4333,283.752
2051,0.016683,23.4331,283.769
2052,0.016683,23.4330,283.786
2053,0.016682,23.4329,283.804
2054,0.016682,23.4327,283.821
2055,0.016681,23.4326,283.838
2056,0.016681,23.4325,283.855
2057,0.016680,23.4324,283.872
2058,0.016680,23.4322,283.889
2059,0.016680,23.4321,283.906
2060,0.016679,23.4320,283.924
2061,0.016679,23.4318,283.941
2062,0.016678,23.4317,283.958
2063,0.016678,23.4316,283.975
2064,0.016678,23.4314,283.992
2065,0.016677,23.4313,284.009
2066,0.016677,23.4312,284.026
2067,0.016676,23.4311,284.043
2068,0.016676,23.4309,284.061
2069,0.016676,23.4308,284.078
2070,0.016675,23.4307,284.095
2071,0.016675,23.4305,284.112
2072,0.016674,23.4304,284.129
2073,0.016674,23.4303,284.146
2074,0.016674,23.4301,284.163
2075,0.016673,23.4300,284.181
2076,0.016673,23.4299,284.198
2077,0.016672,23.4298,284.215
2078,0.016672,23.4296,284.232
2079,0.016672,23.4295,284.249
2080,0.016671,23.4294,284.266
2081,0.016671,23.4292,284.283
2082,0.016670,23.4291,284.301
2083,0.016670,23.4290,284.318
2084,0.016669,23.4288,284.335
2085,0.016669,23.4287,284.352
2086,0.016669,23.4286,284.369
2087,0.016668,23.4285,284.386
2088,0.016668,23.4283,284.403
2089,0.016667,23.4282,284.421
2090,0.016667,23.4281,284.438
2091,0.016667,23.4279,284.455
2092,0.016666,23.4278,284.472
2093,0.016666,23.4277,284.489
2094,0.016665,23.4275,284.506
2095,0.016665,23.4274,284.523
2096,0.016665,23.4273,284.541
2097,0.016664,23.4272,284.558
2098,0.016664,23.4270,284.575
2099,0.016663,23.4269,284.592
2100,0.016663,23.4268,284.609
